"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Крупи гречані","Місячна","30.2","31.26","29.8","29.94","29.88","30.17","31.92","30.5","33.95","34.84","37.03","36.28","38.19","38.23","38.46","38.04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Крупи ячні","Місячна","15.71","15.81","15.53","15.76","15.95","15.9","16.96","17.75","17.77","19.05","18","20.06","21.14","21.98","22.32","22.59"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Пшоно","Місячна","24.59","24.72","23.73","23.53","23.84","23.49","24.33","23.78","23.83","24.3","24.27","24.96","25.31","25.74","26.15","26.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Крупи пшеничні","Місячна","19.34","18.89","18.19","17.77","18.04","19.36","20.55","21.73","20.87","22.36","23.53","24.46","24.23","24.7","24.78","25.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Яловичина","Місячна","249.07","256.86","264.57","272.25","276.17","277.37","278.68","278.29","280.17","290.53","294.79","298.03","299.66","301.89","304.91","304.09"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Свинина","Місячна","190.82","179.33","175.78","172.67","175.64","173.05","175.84","184.35","180.21","180.54","182.22","182.27","184.46","185.62","188.59","199.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Птиця (тушки курячі)","Місячна","88.96","87.94","85.1","85.46","85.69","84.42","83.66","83.28","85.59","85.89","87.65","86.86","87.52","88.38","92.26","91.04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Філе куряче","Місячна","162.69","162.86","162.19","164.52","156.24","156.53","153.42","159.56","161.96","171","174.06","174.79","172.07","172.9","176.34","177.73"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Ковбаси варені першого ґатунку","Місячна","192.83","194.41","180.64","197.89","198.57","186.11","198.57","194.74","204.48","198.76","204.48","201.2","201.2","199.82","191.36","193.24"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Риба морожена","Місячна","158.38","158.9","162.06","169.26","170.66","170.1","172.94","176.29","174.78","181.54","176.86","179.07","179.34","179.51","181.54","182.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Молоко пастеризоване жирністю до 2,6% включно","Місячна","39.84","40.76","41.26","40.5","40.96","40.96","39.56","40.32","41.49","42.16","42.3","43.84","45.21","45.21","45.29","45.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Сири м’які жирні","Місячна","189.04","187.02","188.75","188.18","192.03","182.78","178.71","183.92","189.19","190.15","197.34","207.03","210.58","212.53","211.66","213.04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Сметана жирністю до 15% включно","Місячна","100.67","102.75","102.75","105.69","106.46","102.63","105.34","105.42","107.91","113.52","115.53","121.28","121.82","126.29","125.43","127.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Яйця","Місячна","52.32","48.92","42.76","32.78","27.23","30.45","28.21","29.88","33.95","39.03","61.96","64.03","46.3","49.18","58.65","57.97"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Масло вершкове","Місячна","75.83","79.55","79.94","80.37","79.88","81.35","80.86","81.66","84.15","92.03","93.19","94.03","95.66","96.47","98.01","104.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Олія соняшникова","Місячна","55.48","57.05","54.67","55.53","56.84","60.06","61.51","60.89","62.67","63.69","66.53","70.66","73.19","78.45","79.19","81.25"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Івано-Франківська","Сало","Місячна","147.19","143.18","142.15","140.63","134.9","134.27","129.7","129.7","133.8","141.03","138.68","137.09","137.09","137.09","156.6","160.4"
